Reaction,Order,Rall,R1,R2,Pall,P1,P2,P3,P4,Tmin,Tmax,A,n,Ea
HN=C=O->H.+NCO,2,HN=C=O,HN=C=O,,H. | NCO,H.,NCO,,,2120.0,2570.0,1.66e-07, ,469000.0
HN=C=O->CO+NH,2,HN=C=O,HN=C=O,,CO | NH,CO,NH,,,500.0,2500.0,0.000769,-3.10,427000.0
HCONH2+H.->H2+C(O)NH2,2,HCONH2 | H.,HCONH2,H.,H2 | C(O)NH2,H2,C(O)NH2,,,300.0,1500.0,2.14e-11, ,29100.0
HCONH2+H.->CH(OH)NH2,2,HCONH2 | H.,HCONH2,H.,CH(OH)NH2,CH(OH)NH2,,,,300.0,1500.0,1.83e-11, ,51800.0
HCONH2+H.->OCH2NH2,2,HCONH2 | H.,HCONH2,H.,OCH2NH2,OCH2NH2,,,,300.0,1500.0,6.76e-12, ,48400.0
HCONH2+.CH3->CH4+C(O)NH2,2,HCONH2 | .CH3,HCONH2,.CH3,CH4 | C(O)NH2,CH4,C(O)NH2,,,417.0,457.0,6.64e-14, ,29300.0
HCONH2->C(O)NH2+H.,2,HCONH2,HCONH2,,C(O)NH2 | H.,C(O)NH2,H.,,,1690.0,2180.0,7.59e-09, ,269000.0
HCONH2->HCO+NH2,2,HCONH2,HCONH2,,HCO | NH2,HCO,NH2,,,1690.0,2180.0,2.24e-08, ,305000.0
HCONH2->CO+NH3,2,HCONH2,HCONH2,,CO | NH3,CO,NH3,,,1690.0,2180.0,1.38e-09, ,205000.0
CH2I2+I->I2+.CH2I,2,CH2I2 | I,CH2I2,I,I2 | .CH2I,I2,.CH2I,,,474.0,584.0,4.68e-10, ,63200.0
CH2F2+Cl->.CHF2+HCl,2,CH2F2 | Cl,CH2F2,Cl,.CHF2 | HCl,.CHF2,HCl,,,281.0,368.0,1.5e-11, ,13100.0
CH2F2+O.->.CHF2+.OH,2,CH2F2 | O.,CH2F2,O.,.CHF2 | .OH,.CHF2,.OH,,,873.0,953.0,4.4e-12, ,36800.0
CH2F2+.F->.CHF2+HF,2,CH2F2 | .F,CH2F2,.F,.CHF2 | HF,.CHF2,HF,,,182.0,298.0,3.7e-11, ,4781.0
CH2F2+NH->.CHF2+NH2,2,CH2F2 | NH,CH2F2,NH,.CHF2 | NH2,.CHF2,NH2,,,200.0,3000.0,8.36e-13,2.32,75500.0
CH2F2+H.->.CH2F+HF,2,CH2F2 | H.,CH2F2,H.,.CH2F | HF,.CH2F,HF,,,298.0,2500.0,1.55e-11,1.73,148000.0
CH2F2+H.->H2+.CHF2,2,CH2F2 | H.,CH2F2,H.,H2 | .CHF2,H2,.CHF2,,,200.0,1000.0,4.47e-12, ,26300.0
CH2F2+H.->CH3F+.F,2,CH2F2 | H.,CH2F2,H.,CH3F | .F,CH3F,.F,,,298.0,2500.0,7.79e-20,1.61,214000.0
CH2F2+Br.->.CHF2+HBr,2,CH2F2 | Br.,CH2F2,Br.,.CHF2 | HBr,.CHF2,HBr,,,398.0,573.0,3.95e-11, ,69300.0
CH2F2+O3->HO3+.CHF2,2,CH2F2 | O3,CH2F2,O3,HO3 | .CHF2,HO3,.CHF2,,,200.0,2500.0,1.76e-20,6.42,128000.0
CH2F2+.OH->.CHF2+H2O,2,CH2F2 | .OH,CH2F2,.OH,.CHF2 | H2O,.CHF2,H2O,,,240.0,300.0,2e-12, ,12800.0
CH2F2+.CF3->CHF3+.CHF2,2,CH2F2 | .CF3,CH2F2,.CF3,CHF3 | .CHF2,CHF3,.CHF2,,,448.0,636.0,7.08e-13, ,47200.0
CH2F2->H2+.CF2,2,CH2F2,CH2F2,,H2 | .CF2,H2,.CF2,,,1250.0,1550.0,0.09,-8.70,472000.0
CH2Cl2+Cl->.CH2Cl+Cl2,2,CH2Cl2 | Cl,CH2Cl2,Cl,.CH2Cl | Cl2,.CH2Cl,Cl2,,,350.0,450.0,1.1e-11, ,121000.0
CH2Cl2+Cl->CHCl2+HCl,2,CH2Cl2 | Cl,CH2Cl2,Cl,CHCl2 | HCl,CHCl2,HCl,,,270.0,370.0,2.8e-11, ,10800.0
CH2Cl2+O.->.OH+CHCl2,2,CH2Cl2 | O.,CH2Cl2,O.,.OH | CHCl2,.OH,CHCl2,,,468.0,1360.0,9.23e-13,1.99,23800.0
CH2Cl2+.F->CHCl2+HF,2,CH2Cl2 | .F,CH2Cl2,.F,CHCl2 | HF,CHCl2,HF,,,253.0,358.0,6.03e-12, ,-1670.0
CH2Cl2+H.->.CH2Cl+HCl,2,CH2Cl2 | H.,CH2Cl2,H.,.CH2Cl | HCl,.CH2Cl,HCl,,,298.0,460.0,1.79e-11, ,25500.0
CH2Cl2+H.->H2+CHCl2,2,CH2Cl2 | H.,CH2Cl2,H.,H2 | CHCl2,H2,CHCl2,,,700.0,2500.0,1.96e-12,2.07,27600.0
CH2Cl2+Br.->CHCl2+HBr,2,CH2Cl2 | Br.,CH2Cl2,Br.,CHCl2 | HBr,CHCl2,HBr,,,332.0,394.0,1.28e-12, ,45400.0
CH2Cl2+.OH->CHCl2+H2O,2,CH2Cl2 | .OH,CH2Cl2,.OH,CHCl2 | H2O,CHCl2,H2O,,,240.0,300.0,2.7e-12, ,7649.0
CH2Cl2+.CF3->CF3Cl+.CH2Cl,2,CH2Cl2 | .CF3,CH2Cl2,.CF3,CF3Cl | .CH2Cl,CF3Cl,.CH2Cl,,,358.0,477.0,1.32e-13, ,53700.0
CH2Cl2+.CF3->CHF3+CHCl2,2,CH2Cl2 | .CF3,CH2Cl2,.CF3,CHF3 | CHCl2,CHF3,CHCl2,,,358.0,722.0,0.49, ,-17500.0
CH2Cl2+.CH3->CH4+CHCl2,2,CH2Cl2 | .CH3,CH2Cl2,.CH3,CH4 | CHCl2,CH4,CHCl2,,,396.0,469.0,1.05e-12, ,37700.0
CH2Cl2->.CH2Cl+Cl,2,CH2Cl2,CH2Cl2,,.CH2Cl | Cl,.CH2Cl,Cl,,,1400.0,2300.0,6.64e-09, ,236000.0
CH2Cl2->.CHCl+HCl,2,CH2Cl2,CH2Cl2,,.CHCl | HCl,.CHCl,HCl,,,1400.0,2300.0,2.26e-08, ,241000.0
C2H5SH+Cl->HCl+CH3CH2S,2,C2H5SH | Cl,C2H5SH,Cl,HCl | CH3CH2S,HCl,CH3CH2S,,,260.0,333.0,3.1e-10, ,1131.0
C2H5SH+H.->.C2H5+H2S,2,C2H5SH | H.,C2H5SH,H.,.C2H5 | H2S,.C2H5,H2S,,,298.0,423.0,8.49e-12, ,9977.0
C2H5SH+H.->H2+CH3CH2S,2,C2H5SH | H.,C2H5SH,H.,H2 | CH3CH2S,H2,CH3CH2S,,,298.0,423.0,0.78, ,-5479.0
CH3CHO+O.->.OH+CH2=CHO.,2,CH3CHO | O.,CH3CHO,O.,.OH | CH2=CHO.,.OH,CH2=CHO.,,,1000.0,1700.0,2.49e-11, ,20900.0
CH3CHO+O.->CH3CO+.OH,2,CH3CHO | O.,CH3CHO,O.,CH3CO | .OH,CH3CO,.OH,,,200.0,300.0,1.79e-11, ,9146.0
CH3CHO+D->CH3CH(.)OD,2,CH3CHO | D,CH3CHO,D,CH3CH(.)OD,CH3CH(.)OD,,,,200.0,2500.0,1.39e-12,1.89,35900.0
CH3CHO+D->HD+CH3CO,2,CH3CHO | D,CH3CHO,D,HD | CH3CO,HD,CH3CO,,,200.0,2500.0,4.47e-13,2.58,4615.0
CH3CHO+D->CH2=CHO.+HD,2,CH3CHO | D,CH3CHO,D,CH2=CHO. | HD,CH2=CHO.,HD,,,200.0,2500.0,1.71e-13,3.16,20500.0
CH3CHO+D->CH3CHDO.,2,CH3CHO | D,CH3CHO,D,CH3CHDO.,CH3CHDO.,,,,200.0,2500.0,1.23e-12,1.63,30900.0
CH3CHO+SiH2->Adduct,2,CH3CHO | SiH2,CH3CHO,SiH2,Adduct,Adduct,,,,297.0,599.0,3.04e-12, ,-11400.0
CH3CHO+H.->CH3CHOH,2,CH3CHO | H.,CH3CHO,H.,CH3CHOH,CH3CHOH,,,,200.0,2500.0,8.02e-13,2.20,31400.0
CH3CHO+H.->CH3CH2O.,2,CH3CHO | H.,CH3CHO,H.,CH3CH2O.,CH3CH2O.,,,,298.0,2000.0,1.33e-11, ,26800.0
CH3CHO+H.->H2+CH3CO,2,CH3CHO | H.,CH3CHO,H.,H2 | CH3CO,H2,CH3CO,,,1000.0,1700.0,1.99e-10, ,29300.0
CH3CHO+H.->H2+CH2=CHO.,2,CH3CHO | H.,CH3CHO,H.,H2 | CH2=CHO.,H2,CH2=CHO.,,,1000.0,1700.0,7.31e-10, ,41800.0
CH3CHO+H.->H2+CH3CO,2,CH3CHO | H.,CH3CHO,H.,H2 | CH3CO,H2,CH3CO,,,300.0,2000.0,6.64e-11, ,17600.0
CH3CHO+H.->CO+H2+.CH3,2,CH3CHO | H.,CH3CHO,H.,CO | H2 | .CH3,CO,H2,.CH3,,285.0,1415.0,4.88e-13,2.75,4041.0
CH3CHO+NO3->CH3CO+HNO3,2,CH3CHO | NO3,CH3CHO,NO3,CH3CO | HNO3,CH3CO,HNO3,,,260.0,380.0,1.4e-12, ,15500.0
CH3CHO+NO2->CH3CO+HNO2,2,CH3CHO | NO2,CH3CHO,NO2,CH3CO | HNO2,CH3CO,HNO2,,,803.0,1470.0,5.18e-13, ,113000.0
CH3CHO+Br.->CH3CO+HBr,2,CH3CHO | Br.,CH3CHO,Br.,CH3CO | HBr,CH3CO,HBr,,,250.0,400.0,1.3e-11, ,2993.0
CH3CHO+O3->HO3+*CH2C(O)H,2,CH3CHO | O3,CH3CHO,O3,HO3 | *CH2C(O)H,HO3,*CH2C(O)H,,,250.0,2500.0,7.12e-18,3.94,121000.0
CH3CHO+O3->HO3+CH3CO,2,CH3CHO | O3,CH3CHO,O3,HO3 | CH3CO,HO3,CH3CO,,,250.0,2500.0,6.06e-19,3.27,65400.0
CH3CHO+O2->HO2+CH2=CHO.,2,CH3CHO | O2,CH3CHO,O2,HO2 | CH2=CHO.,HO2,CH2=CHO.,,,1000.0,1700.0,3.32e-10, ,203000.0
CH3CHO+O2->CH3CO+HO2,2,CH3CHO | O2,CH3CHO,O2,CH3CO | HO2,CH3CO,HO2,,,600.0,1100.0,5e-11, ,164000.0
CH3CHO+CH3S.->CH3SH+CO+.CH3,2,CH3CHO | CH3S.,CH3CHO,CH3S.,CH3SH | CO | .CH3,CH3SH,CO,.CH3,,441.0,669.0,1.32e-12, ,28400.0
CH3CHO+NF2->CH3CO+HNF2,2,CH3CHO | NF2,CH3CHO,NF2,CH3CO | HNF2,CH3CO,HNF2,,,353.0,448.0,3.89e-14, ,69600.0
CH3CHO+.OH->CH2=CHO.+H2O,2,CH3CHO | .OH,CH3CHO,.OH,CH2=CHO. | H2O,CH2=CHO.,H2O,,,1000.0,1700.0,2.66e-11, ,8368.0
CH3CHO+.OH->*CH2C(O)H+H2O,2,CH3CHO | .OH,CH3CHO,.OH,*CH2C(O)H | H2O,*CH2C(O)H,H2O,,,295.0,600.0,7.16e-13,2.20,4182.0
CH3CHO+.OH->CH3CO+H2O,2,CH3CHO | .OH,CH3CHO,.OH,CH3CO | H2O,CH3CO,H2O,,,200.0,350.0,4.4e-12, ,-3035.0
CH3CHO+HO2->CH2=CHO.+H2O2,2,CH3CHO | HO2,CH3CHO,HO2,CH2=CHO. | H2O2,CH2=CHO.,H2O2,,,1000.0,1700.0,1.66e-12, ,58600.0
CH3CHO+HO2->CH3CO+H2O2,2,CH3CHO | HO2,CH3CHO,HO2,CH3CO | H2O2,CH3CO,H2O2,,,900.0,1200.0,5e-12, ,49900.0
CH3CHO+HO2->CH3CHOH+O2,2,CH3CHO | HO2,CH3CHO,HO2,CH3CHOH | O2,CH3CHOH,O2,,,300.0,2000.0,4.19e-10,-1.80,109000.0
CH3CHO+HO2->CH3CH(O.)OOH,2,CH3CHO | HO2,CH3CHO,HO2,CH3CH(O.)OOH,CH3CH(O.)OOH,,,,300.0,2000.0,2.15e-14,2.25,83500.0
CH3CHO+HO2->[CH3CHO…HO2] complex,2,CH3CHO | HO2,CH3CHO,HO2,[CH3CHO…HO2] complex,[CH3CHO…HO2] complex,,,,300.0,2000.0,6.83e-12,0.43,-4393.0
CH3CHO+HO2->CH3CH(OH)O2,2,CH3CHO | HO2,CH3CHO,HO2,CH3CH(OH)O2,CH3CH(OH)O2,,,,300.0,2000.0,0.000177,-21.04,58000.0
CH3CHO+(CH3)3CO->tert-C4H9OH+*CH2C(O)H,2,CH3CHO | (CH3)3CO,CH3CHO,(CH3)3CO,tert-C4H9OH | *CH2C(O)H,tert-C4H9OH,*CH2C(O)H,,,399.0,434.0,9.61e-14, ,15800.0
