Reaction,Order,Rall,R1,R2,Pall,P1,P2,P3,P4,Tmin,Tmax,A,n,Ea
"Cyclopropane-1,2-d2, trans-->CH3CD=CHD",1,"Cyclopropane-1,2-d2, trans-","Cyclopropane-1,2-d2, trans-",,CH3CD=CHD,CH3CD=CHD,,,,687.0,747.0,1580000000000000.0, ,274000.0
"Bicyclo[2,2,1]-hepta-2,5-dien-7-yl->C2H2+Cyclopentadienyl",1,"Bicyclo[2,2,1]-hepta-2,5-dien-7-yl","Bicyclo[2,2,1]-hepta-2,5-dien-7-yl",,C2H2 | Cyclopentadienyl,C2H2,Cyclopentadienyl,,,1380.0,1700.0,1000000000000000.0, ,146000.0
"Cyclopropanamine, N-propylidene->2H-Pyrrole, 2-ethyl-3,4-dihydro-",1,"Cyclopropanamine, N-propylidene","Cyclopropanamine, N-propylidene",,"2H-Pyrrole, 2-ethyl-3,4-dihydro-","2H-Pyrrole, 2-ethyl-3,4-dihydro-",,,,573.0,635.0,112000000000000.0, ,200000.0
"Benzamide, 3-chloro-N-(1,1-dimethylethyl)-->iso-C4H8+Benzamide, 3-chloro-",1,"Benzamide, 3-chloro-N-(1,1-dimethylethyl)-","Benzamide, 3-chloro-N-(1,1-dimethylethyl)-",,"iso-C4H8 | Benzamide, 3-chloro-",iso-C4H8,"Benzamide, 3-chloro-",,,704.0,752.0,158000000000.0, ,172000.0
H3P=S->H2PSH,1,H3P=S,H3P=S,,H2PSH,H2PSH,,,,200.0,2000.0,171.0,13.39,101000.0
H3P=S->H2+HP=S,1,H3P=S,H3P=S,,H2 | HP=S,H2,HP=S,,,200.0,2000.0,2894.0,11.86,157000.0
CH3SC(S)OCH(CH3)2->CH3CH=CH2+CH3OC(S)SH,1,CH3SC(S)OCH(CH3)2,CH3SC(S)OCH(CH3)2,,CH3CH=CH2 | CH3OC(S)SH,CH3CH=CH2,CH3OC(S)SH,,,500.0,550.0,1390000000000.0, ,149000.0
"Benzene, 1-(2-chloroethyl)-2-methoxy-->Benzene, 1-ethenyl-2-methoxy-+HCl",1,"Benzene, 1-(2-chloroethyl)-2-methoxy-","Benzene, 1-(2-chloroethyl)-2-methoxy-",,"Benzene, 1-ethenyl-2-methoxy- | HCl","Benzene, 1-ethenyl-2-methoxy-",HCl,,,683.0,714.0,77600000000000.0, ,229000.0
"Benzene, 1-(2-chloroethyl)-2-methoxy-->CH3Cl+Benzofuran, 2,3-dihydro",1,"Benzene, 1-(2-chloroethyl)-2-methoxy-","Benzene, 1-(2-chloroethyl)-2-methoxy-",,"CH3Cl | Benzofuran, 2,3-dihydro",CH3Cl,"Benzofuran, 2,3-dihydro",,,683.0,714.0,52500000000000.0, ,233000.0
(t-C4H9O)2C(O)->iso-C4H8+(CH3)3COC(O)OH,1,(t-C4H9O)2C(O),(t-C4H9O)2C(O),,iso-C4H8 | (CH3)3COC(O)OH,iso-C4H8,(CH3)3COC(O)OH,,,546.0,594.0,8510000000000.0, ,155000.0
(CH3)3SiCH(CH3)CH=CH2->(CH3)3SiCH2CH=CHCH3,1,(CH3)3SiCH(CH3)CH=CH2,(CH3)3SiCH(CH3)CH=CH2,,(CH3)3SiCH2CH=CHCH3,(CH3)3SiCH2CH=CHCH3,,,,779.0,850.0,2090000000000.0, ,200000.0
Cyclodisiloxane->H2Si=O+H2Si=O,1,Cyclodisiloxane,Cyclodisiloxane,,H2Si=O | H2Si=O,H2Si=O,H2Si=O,,,1000.0,2500.0,5.4e+21,-6.80,47000.0
Nitrous acid phenyl ester->C6H5O+NO,1,Nitrous acid phenyl ester,Nitrous acid phenyl ester,,C6H5O | NO,C6H5O,NO,,,297.0,373.0,4600000000000000.0, ,71300.0
"Cyclopropene, 1-ethyl-->Cyclopropene, 1,3-dimethyl-",1,"Cyclopropene, 1-ethyl-","Cyclopropene, 1-ethyl-",,"Cyclopropene, 1,3-dimethyl-","Cyclopropene, 1,3-dimethyl-",,,,471.0,523.0,1800000000000.0, ,157000.0
"Cyclopropene, 1-ethyl-->(E)-CH2=CHCH=CHCH3",1,"Cyclopropene, 1-ethyl-","Cyclopropene, 1-ethyl-",,(E)-CH2=CHCH=CHCH3,(E)-CH2=CHCH=CHCH3,,,,471.0,523.0,12000000000000.0, ,163000.0
"Cyclopropene, 1-ethyl-->(Z)-CH2=CHCH=CHCH3",1,"Cyclopropene, 1-ethyl-","Cyclopropene, 1-ethyl-",,(Z)-CH2=CHCH=CHCH3,(Z)-CH2=CHCH=CHCH3,,,,471.0,523.0,18000000000000.0, ,167000.0
"Cyclopropene, 1-ethyl-->CH2=C=CHCH2CH3",1,"Cyclopropene, 1-ethyl-","Cyclopropene, 1-ethyl-",,CH2=C=CHCH2CH3,CH2=C=CHCH2CH3,,,,471.0,523.0,91000000000000.0, ,186000.0
"Cyclopropene, 1-ethyl-->CH3CH2C(CH3)=C:",1,"Cyclopropene, 1-ethyl-","Cyclopropene, 1-ethyl-",,CH3CH2C(CH3)=C:,CH3CH2C(CH3)=C:,,,,472.0,512.0,7080000000000.0, ,159000.0
"Cyclopropene, 1-ethyl-->C2H5C(CH3)C(:)",1,"Cyclopropene, 1-ethyl-","Cyclopropene, 1-ethyl-",,C2H5C(CH3)C(:),C2H5C(CH3)C(:),,,,471.0,523.0,7100000000000.0, ,159000.0
"C6H5C(.)=CH2->Ethenyl,2-phenyl-",1,C6H5C(.)=CH2,C6H5C(.)=CH2,,"Ethenyl,2-phenyl-","Ethenyl,2-phenyl-",,,,250.0,2000.0,147000000000000.0,0.14,222000.0
C6H5C(.)=CH2->Phenylacetylene+H.,1,C6H5C(.)=CH2,C6H5C(.)=CH2,,Phenylacetylene | H.,Phenylacetylene,H.,,,250.0,2000.0,282000000000000.0,0.55,178000.0
"Cylobutene, 1-bromo-->CH2=CBrCH=CH2",1,"Cylobutene, 1-bromo-","Cylobutene, 1-bromo-",,CH2=CBrCH=CH2,CH2=CBrCH=CH2,,,,424.0,458.0,33900000000000.0, ,141000.0
(CH3)2SiH(CH2)3CH=CH2->CH2=CHCH2CH2CH2.+(CH3)2SiH,1,(CH3)2SiH(CH2)3CH=CH2,(CH3)2SiH(CH2)3CH=CH2,,CH2=CHCH2CH2CH2. | (CH3)2SiH,CH2=CHCH2CH2CH2.,(CH3)2SiH,,,773.0,848.0,2510000000000000.0, ,283000.0
"Cyclohexanol, 2-chloro-, acetate, trans-->CH3C(O)OH+Cyclohexene, 3-chloro-",1,"Cyclohexanol, 2-chloro-, acetate, trans-","Cyclohexanol, 2-chloro-, acetate, trans-",,"CH3C(O)OH | Cyclohexene, 3-chloro-",CH3C(O)OH,"Cyclohexene, 3-chloro-",,,628.0,693.0,14200000000000.0, ,199000.0
"Cyclohexanol, 2-chloro-, acetate, trans-->CH3C(O)OH+Cyclohexene, 1-chloro-",1,"Cyclohexanol, 2-chloro-, acetate, trans-","Cyclohexanol, 2-chloro-, acetate, trans-",,"CH3C(O)OH | Cyclohexene, 1-chloro-",CH3C(O)OH,"Cyclohexene, 1-chloro-",,,628.0,693.0,5820000000000.0, ,199000.0
"Phenylethyl alchol, m-chloro, acetate->CH3C(O)OH+Benzene, 1-chloro-3-ethenyl-",1,"Phenylethyl alchol, m-chloro, acetate","Phenylethyl alchol, m-chloro, acetate",,"CH3C(O)OH | Benzene, 1-chloro-3-ethenyl-",CH3C(O)OH,"Benzene, 1-chloro-3-ethenyl-",,,618.0,668.0,5010000000000.0, ,180000.0
"(-)-Trans-pinane->1,6-Octadiene, 5,7-dimethyl-, (r)-",1,(-)-Trans-pinane,(-)-Trans-pinane,,"1,6-Octadiene, 5,7-dimethyl-, (r)-","1,6-Octadiene, 5,7-dimethyl-, (r)-",,,,760.0,810.0,50000000000000.0, ,214000.0
"(-)-Trans-pinane->1,6-Octadiene, 3,7-dimethyl-",1,(-)-Trans-pinane,(-)-Trans-pinane,,"1,6-Octadiene, 3,7-dimethyl-","1,6-Octadiene, 3,7-dimethyl-",,,,735.0,823.0,50000000000000.0, ,213000.0
"(-)-Trans-pinane->Cyclohexene, 1-methyl-4-(1-methylethyl)-, (R)-",1,(-)-Trans-pinane,(-)-Trans-pinane,,"Cyclohexene, 1-methyl-4-(1-methylethyl)-, (R)-","Cyclohexene, 1-methyl-4-(1-methylethyl)-, (R)-",,,,723.0,785.0,790000000000.0, ,201000.0
(CH3)2CHOCH2COOH->HOCH2COOH+CH3CH=CH2,1,(CH3)2CHOCH2COOH,(CH3)2CHOCH2COOH,,HOCH2COOH | CH3CH=CH2,HOCH2COOH,CH3CH=CH2,,,350.0,400.0,1120000000000.0, ,195000.0
(CH3)2CHOCH2COOH->CH2O+iso-C3H7OH+CO,1,(CH3)2CHOCH2COOH,(CH3)2CHOCH2COOH,,CH2O | iso-C3H7OH | CO,CH2O,iso-C3H7OH,CO,,350.0,400.0,1730000000000.0, ,193000.0
"Pentalene, 1,5-dihydro-->Styrene",1,"Pentalene, 1,5-dihydro-","Pentalene, 1,5-dihydro-",,Styrene,Styrene,,,,1200.0,1600.0,12600000000000.0, ,242000.0
"N,N-Dimethylglycine ethyl ester->C2H4+(CH3)3N+CO2",1,"N,N-Dimethylglycine ethyl ester","N,N-Dimethylglycine ethyl ester",,C2H4 | (CH3)3N | CO2,C2H4,(CH3)3N,CO2,,634.0,683.0,10200000000000.0, ,202000.0
"Benzeneacetic acid, 4-methoxy-, 1,1-dimethylethyl ester->Benzeneacetic acid, 4-methoxy-+iso-C4H8",1,"Benzeneacetic acid, 4-methoxy-, 1,1-dimethylethyl ester","Benzeneacetic acid, 4-methoxy-, 1,1-dimethylethyl ester",,"Benzeneacetic acid, 4-methoxy- | iso-C4H8","Benzeneacetic acid, 4-methoxy-",iso-C4H8,,,543.0,601.0,7940000000000.0, ,163000.0
"benzene acetic acid, 4-methyl-,(1,1-dimethylethyl ester)->iso-C4H8+p-tolylacetic acid",1,"benzene acetic acid, 4-methyl-,(1,1-dimethylethyl ester)","benzene acetic acid, 4-methyl-,(1,1-dimethylethyl ester)",,iso-C4H8 | p-tolylacetic acid,iso-C4H8,p-tolylacetic acid,,,543.0,601.0,16600000000000.0, ,166000.0
"Benzeneacetic acid, 4-chloro-, 1,1-dimethylethyl ester->iso-C4H8+Benzeneacetic acid, 4-chloro-",1,"Benzeneacetic acid, 4-chloro-, 1,1-dimethylethyl ester","Benzeneacetic acid, 4-chloro-, 1,1-dimethylethyl ester",,"iso-C4H8 | Benzeneacetic acid, 4-chloro-",iso-C4H8,"Benzeneacetic acid, 4-chloro-",,,543.0,601.0,5370000000000.0, ,159000.0
"Cyclobutane, 1,1,2-trimethyl-->CH3CH=CH2+iso-C4H8",1,"Cyclobutane, 1,1,2-trimethyl-","Cyclobutane, 1,1,2-trimethyl-",,CH3CH=CH2 | iso-C4H8,CH3CH=CH2,iso-C4H8,,,660.0,728.0,5620000000000000.0, ,252000.0
"Cyclobutane, 1,1,2-trimethyl-->C2H4+(CH3)2C=CHCH3",1,"Cyclobutane, 1,1,2-trimethyl-","Cyclobutane, 1,1,2-trimethyl-",,C2H4 | (CH3)2C=CHCH3,C2H4,(CH3)2C=CHCH3,,,660.0,728.0,8510000000000000.0, ,267000.0
"Oxetane, 2,3-dimethyl-, cis-->CH3CHO+CH3CH=CH2",1,"Oxetane, 2,3-dimethyl-, cis-","Oxetane, 2,3-dimethyl-, cis-",,CH3CHO | CH3CH=CH2,CH3CHO,CH3CH=CH2,,,688.0,756.0,5010000000000000.0, ,264000.0
"Oxetane, 2,3-dimethyl-, cis-->CH2O+CH3CH=CHCH3",1,"Oxetane, 2,3-dimethyl-, cis-","Oxetane, 2,3-dimethyl-, cis-",,CH2O | CH3CH=CHCH3,CH2O,CH3CH=CHCH3,,,688.0,756.0,1740000000000000.0, ,261000.0
"1,3-Cyclohexadiene, 5,6-bis(methylene)-->Bicyclo[4.2.0]octa-1,3,5-triene",1,"1,3-Cyclohexadiene, 5,6-bis(methylene)-","1,3-Cyclohexadiene, 5,6-bis(methylene)-",,"Bicyclo[4.2.0]octa-1,3,5-triene","Bicyclo[4.2.0]octa-1,3,5-triene",,,,594.0,757.0,2100000000000.0, ,112000.0
t-C4H9OC(O)OCH3->iso-C4H8+CH3OC(O)OH,1,t-C4H9OC(O)OCH3,t-C4H9OC(O)OCH3,,iso-C4H8 | CH3OC(O)OH,iso-C4H8,CH3OC(O)OH,,,546.0,597.0,8650000000000.0, ,156000.0
HOSO2->.OH+SO2,2,HOSO2,HOSO2,,.OH | SO2,.OH,SO2,,,150.0,1500.0,0.000316,-4.72,113000.0
iso-C4H9C(O)OCH(CH3)2->CH3CH=CH2+iso-C4H9COOH,1,iso-C4H9C(O)OCH(CH3)2,iso-C4H9C(O)OCH(CH3)2,,CH3CH=CH2 | iso-C4H9COOH,CH3CH=CH2,iso-C4H9COOH,,,599.0,629.0,10200000000000.0, ,190000.0
"Cyclobutene, 1, 2, 3-trimethyl-->CH2=C(CH3)C(CH3)=CHCH3",1,"Cyclobutene, 1, 2, 3-trimethyl-","Cyclobutene, 1, 2, 3-trimethyl-",,CH2=C(CH3)C(CH3)=CHCH3,CH2=C(CH3)C(CH3)=CHCH3,,,,424.0,464.0,18900000000000.0, ,141000.0
.CH2CH2CH2.->CH3CH=CH2,1,.CH2CH2CH2.,.CH2CH2CH2.,,CH3CH=CH2,CH3CH=CH2,,,,715.0,725.0,0.14, ,5438.0
"Peroxide, benzoyl nitro-->NO2+Benzoyldioxy radical",2,"Peroxide, benzoyl nitro-","Peroxide, benzoyl nitro-",,NO2 | Benzoyldioxy radical,NO2,Benzoyldioxy radical,,,290.0,322.0,0.03, ,92300.0
"Spiropentane, methyl-->Cyclobutane, 1-methyl-2-methylene-",1,"Spiropentane, methyl-","Spiropentane, methyl-",,"Cyclobutane, 1-methyl-2-methylene-","Cyclobutane, 1-methyl-2-methylene-",,,,591.0,664.0,331000000000000.0, ,225000.0
"Spiropentane, methyl-->Cyclobutane, 1-methyl-3-methylene-",1,"Spiropentane, methyl-","Spiropentane, methyl-",,"Cyclobutane, 1-methyl-3-methylene-","Cyclobutane, 1-methyl-3-methylene-",,,,591.0,664.0,240000000000000.0, ,225000.0
"Spiropentane, methyl-->Ethylidenecyclobutane",1,"Spiropentane, methyl-","Spiropentane, methyl-",,Ethylidenecyclobutane,Ethylidenecyclobutane,,,,591.0,664.0,138000000000000.0, ,225000.0
"Spiropentane, methyl-->CH3CH=CH2+CH2=C=CH2",1,"Spiropentane, methyl-","Spiropentane, methyl-",,CH3CH=CH2 | CH2=C=CH2,CH3CH=CH2,CH2=C=CH2,,,591.0,664.0,2090000000000000.0, ,250000.0
"Spiropentane, methyl-->C2H4+CH2=C=CHCH3",1,"Spiropentane, methyl-","Spiropentane, methyl-",,C2H4 | CH2=C=CHCH3,C2H4,CH2=C=CHCH3,,,591.0,664.0,3020000000000000.0, ,249000.0
CH3C(O)OCH(CH3)CH2N(CH3)2->CH3C(O)OH+CH2=CHCH2N(CH3)2,1,CH3C(O)OCH(CH3)CH2N(CH3)2,CH3C(O)OCH(CH3)CH2N(CH3)2,,CH3C(O)OH | CH2=CHCH2N(CH3)2,CH3C(O)OH,CH2=CHCH2N(CH3)2,,,583.0,683.0,4570000000000.0, ,186000.0
"CH3C(O)OCH(CH3)-C6F5->CH3C(O)OH+Benzene, ethenylpentafluoro-",1,CH3C(O)OCH(CH3)-C6F5,CH3C(O)OCH(CH3)-C6F5,,"CH3C(O)OH | Benzene, ethenylpentafluoro-",CH3C(O)OH,"Benzene, ethenylpentafluoro-",,,617.0,683.0,7080000000000.0, ,191000.0
"Benzene, [2-(ethenyloxy)ethyl]-->CH3CHO+Styrene",1,"Benzene, [2-(ethenyloxy)ethyl]-","Benzene, [2-(ethenyloxy)ethyl]-",,CH3CHO | Styrene,CH3CHO,Styrene,,,615.0,666.0,2.95, ,192000.0
Oxiranyl->CH2=CHO.,1,Oxiranyl,Oxiranyl,,CH2=CHO.,CH2=CHO.,,,,300.0,2000.0,740000000000000.0,-6.90,62700.0
Oxiranyl->CO+.CH3,1,Oxiranyl,Oxiranyl,,CO | .CH3,CO,.CH3,,,300.0,2000.0,7310000000000.0, ,59700.0
Oxiranyl->H2C=C=O+H.,1,Oxiranyl,Oxiranyl,,H2C=C=O | H.,H2C=C=O,H.,,,300.0,2000.0,49600000000000.0, ,62200.0
CH3SCH2->CH2S+.CH3,1,CH3SCH2,CH3SCH2,,CH2S | .CH3,CH2S,.CH3,,,300.0,3000.0,44000000000000.0, ,138000.0
C2Cl5O->CCl3COCl+Cl,1,C2Cl5O,C2Cl5O,,CCl3COCl | Cl,CCl3COCl,Cl,,,314.0,344.0,30000000000000.0, ,40400.0
CH2ClCH2O->CH2ClCHO+H.,1,CH2ClCH2O,CH2ClCH2O,,CH2ClCHO | H.,CH2ClCHO,H.,,,300.0,2000.0,87000000000000.0,1.88,83800.0
CH2ClCH2O->CH2O+.CH2Cl,1,CH2ClCH2O,CH2ClCH2O,,CH2O | .CH2Cl,CH2O,.CH2Cl,,,298.0,298.0,16000000000000.0, ,71300.0
CH2ClCH2O->CHClCH2OH,1,CH2ClCH2O,CH2ClCH2O,,CHClCH2OH,CHClCH2OH,,,,300.0,2000.0,220000000000.0,1.26,92800.0
"Tricyclo[4.2.2.01,6]decane->Cyclooctane, 1,4-bis(methylene)-",1,"Tricyclo[4.2.2.01,6]decane","Tricyclo[4.2.2.01,6]decane",,"Cyclooctane, 1,4-bis(methylene)-","Cyclooctane, 1,4-bis(methylene)-",,,,577.0,640.0,5010000000000.0, ,171000.0
"Tetracyclo[4.2.2.1.2,501,6]undecane->Bicyclo[4.2.1]nonane, 2,5-bis(methylene)-",1,"Tetracyclo[4.2.2.1.2,501,6]undecane","Tetracyclo[4.2.2.1.2,501,6]undecane",,"Bicyclo[4.2.1]nonane, 2,5-bis(methylene)-","Bicyclo[4.2.1]nonane, 2,5-bis(methylene)-",,,,528.0,584.0,1000000000000000.0, ,185000.0
CH3C(:)Cl->CH2=CHCl,1,CH3C(:)Cl,CH3C(:)Cl,,CH2=CHCl,CH2=CHCl,,,,293.0,303.0,100000000000.0, ,33900.0
iso-C4H9CO.->CO+iso-C4H9,1,iso-C4H9CO.,iso-C4H9CO.,,CO | iso-C4H9,CO,iso-C4H9,,,353.0,423.0,1380000000000.0, ,40600.0
n-C4H9CO.->CO+n-C4H9,1,n-C4H9CO.,n-C4H9CO.,,CO | n-C4H9,CO,n-C4H9,,,273.0,448.0,2950000000000.0, ,42900.0
"Tetracyclo[4.2.1.1.2,50.2,6]undec-3-ene->Bicyclo[4.2.1]non-7-ene,2,5-bis(methylene)-",1,"Tetracyclo[4.2.1.1.2,50.2,6]undec-3-ene","Tetracyclo[4.2.1.1.2,50.2,6]undec-3-ene",,"Bicyclo[4.2.1]non-7-ene,2,5-bis(methylene)-","Bicyclo[4.2.1]non-7-ene,2,5-bis(methylene)-",,,,523.0,582.0,158000000000000.0, ,173000.0
ethyl 1-methyl-2-piperidine carboxylate->C2H4+CO2+N-Methylpiperidine,1,ethyl 1-methyl-2-piperidine carboxylate,ethyl 1-methyl-2-piperidine carboxylate,,C2H4 | CO2 | N-Methylpiperidine,C2H4,CO2,N-Methylpiperidine,,635.0,693.0,13.34, ,209000.0
CH3C(O)CHICH3->CH2=CHCOCH3+HI,1,CH3C(O)CHICH3,CH3C(O)CHICH3,,CH2=CHCOCH3 | HI,CH2=CHCOCH3,HI,,,554.0,628.0,25100000000000.0, ,175000.0
(CH2=CHCH2)2PC6H5->CH3CH=CH2+C6H5P=CHCH=CH2,1,(CH2=CHCH2)2PC6H5,(CH2=CHCH2)2PC6H5,,CH3CH=CH2 | C6H5P=CHCH=CH2,CH3CH=CH2,C6H5P=CHCH=CH2,,,652.0,694.0,37200000000.0, ,143000.0
"Phosphine, phenyl(phenylmethyl)2-propenyl-->CH3CH=CH2+Phosphine, phenyl(phenylmethylene)-",1,"Phosphine, phenyl(phenylmethyl)2-propenyl-","Phosphine, phenyl(phenylmethyl)2-propenyl-",,"CH3CH=CH2 | Phosphine, phenyl(phenylmethylene)-",CH3CH=CH2,"Phosphine, phenyl(phenylmethylene)-",,,662.0,704.0,5130000000.0, ,135000.0
BrCH2C(O)OCH(CH3)2->CH2BrCOOH+CH3CH=CH2,1,BrCH2C(O)OCH(CH3)2,BrCH2C(O)OCH(CH3)2,,CH2BrCOOH | CH3CH=CH2,CH2BrCOOH,CH3CH=CH2,,,583.0,613.0,7410000000000.0, ,181000.0
(n-C3H7)-O-O-(n-C3H7)->n-C3H7O+n-C3H7O,1,(n-C3H7)-O-O-(n-C3H7),(n-C3H7)-O-O-(n-C3H7),,n-C3H7O | n-C3H7O,n-C3H7O,n-C3H7O,,,373.0,403.0,10000000000000.0, ,146000.0
"Propanoic acid, 2,2-dimethyl-, cyclohexyl ester->tert-C4H9COOH+Cyclohexene",1,"Propanoic acid, 2,2-dimethyl-, cyclohexyl ester","Propanoic acid, 2,2-dimethyl-, cyclohexyl ester",,tert-C4H9COOH | Cyclohexene,tert-C4H9COOH,Cyclohexene,,,613.0,663.0,10000000000000.0, ,188000.0
"CH2=C=CHCH=C=CH2->3,4-Dimethylenecyclobut-1-ene",1,CH2=C=CHCH=C=CH2,CH2=C=CHCH=C=CH2,,"3,4-Dimethylenecyclobut-1-ene","3,4-Dimethylenecyclobut-1-ene",,,,540.0,700.0,14500000000.0, ,97900.0
CH2=CHCH2N=NCH2CH=CH2->CH2=CHCH2CH2CH=CH2+N2,1,CH2=CHCH2N=NCH2CH=CH2,CH2=CHCH2N=NCH2CH=CH2,,CH2=CHCH2CH2CH=CH2 | N2,CH2=CHCH2CH2CH=CH2,N2,,,423.0,443.0,3470000000000000.0, ,151000.0
"Benzeneacetic acid, 4-nitro-1,1,-dimethylethyl ester->Benzeneacetic acid, 4-nitro-+iso-C4H8",1,"Benzeneacetic acid, 4-nitro-1,1,-dimethylethyl ester","Benzeneacetic acid, 4-nitro-1,1,-dimethylethyl ester",,"Benzeneacetic acid, 4-nitro- | iso-C4H8","Benzeneacetic acid, 4-nitro-",iso-C4H8,,,543.0,601.0,26300000000000.0, ,164000.0
(CH3)3COC(O)SCH3->iso-C4H8+CH3OC(O)SH,1,(CH3)3COC(O)SCH3,(CH3)3COC(O)SCH3,,iso-C4H8 | CH3OC(O)SH,iso-C4H8,CH3OC(O)SH,,,752.0,775.0,48800000000.0, ,133000.0
CH2=C(OH)CH3->.CH3+CH3CO,1,CH2=C(OH)CH3,CH2=C(OH)CH3,,.CH3 | CH3CO,.CH3,CH3CO,,,700.0,3000.0,1.73e+28,-15.77,354000.0
CH2=C(OH)CH3->H2+Cyclopropanone,1,CH2=C(OH)CH3,CH2=C(OH)CH3,,H2 | Cyclopropanone,H2,Cyclopropanone,,,700.0,3000.0,7.49e+25,-20.68,455000.0
CH2=C(OH)CH3->CH2=C=CH2+H2O,1,CH2=C(OH)CH3,CH2=C(OH)CH3,,CH2=C=CH2 | H2O,CH2=C=CH2,H2O,,,700.0,3000.0,1.29e+27,-19.30,430000.0
CH2=C(OH)CH3->CH3CCH+H2O,1,CH2=C(OH)CH3,CH2=C(OH)CH3,,CH3CCH | H2O,CH3CCH,H2O,,,700.0,3000.0,1.71e+27,-19.17,427000.0
CH2=C(OH)CH3->CH4+H2C=C=O,1,CH2=C(OH)CH3,CH2=C(OH)CH3,,CH4 | H2C=C=O,CH4,H2C=C=O,,,700.0,3000.0,5.02e+26,-19.86,440000.0
CH2=C(OH)CH3->CH2=C(OH)-CH2.+H.,1,CH2=C(OH)CH3,CH2=C(OH)CH3,,CH2=C(OH)-CH2. | H.,CH2=C(OH)-CH2.,H.,,,700.0,3000.0,4.2e+28,-20.65,454000.0
CH3SCH2SH->CH3S.+.CH2SH,1,CH3SCH2SH,CH3SCH2SH,,CH3S. | .CH2SH,CH3S.,.CH2SH,,,200.0,500.0,3.92e+18,-0.64,276000.0
"Oxetane, 2,3-dimethyl-, trans-->CH3CHO+CH3CH=CH2",1,"Oxetane, 2,3-dimethyl-, trans-","Oxetane, 2,3-dimethyl-, trans-",,CH3CHO | CH3CH=CH2,CH3CHO,CH3CH=CH2,,,688.0,756.0,8130000000000000.0, ,270000.0
"Oxetane, 2,3-dimethyl-, trans-->CH2O+CH3CH=CHCH3",1,"Oxetane, 2,3-dimethyl-, trans-","Oxetane, 2,3-dimethyl-, trans-",,CH2O | CH3CH=CHCH3,CH2O,CH3CH=CHCH3,,,688.0,756.0,3090000000000000.0, ,266000.0
(CH3)2CHC(O)(CH3)2->(CH3)2CO+iso-C3H7,1,(CH3)2CHC(O)(CH3)2,(CH3)2CHC(O)(CH3)2,,(CH3)2CO | iso-C3H7,(CH3)2CO,iso-C3H7,,,298.0,450.0,39800000000000.0, ,40600.0
C6H5C(O)NHC(O)C2H5->Benzamide+CH3CH=C=O,1,C6H5C(O)NHC(O)C2H5,C6H5C(O)NHC(O)C2H5,,Benzamide | CH3CH=C=O,Benzamide,CH3CH=C=O,,,532.0,560.0,126000000000000.0, ,170000.0
HOCH2CH2O->HOCH2CH2O,1,HOCH2CH2O,HOCH2CH2O,,HOCH2CH2O,HOCH2CH2O,,,,200.0,2000.0,3820000.0,6.32,21000.0
HOCH2CH2O->CH2O+(.)CH2OH,1,HOCH2CH2O,HOCH2CH2O,,CH2O | (.)CH2OH,CH2O,(.)CH2OH,,,298.0,298.0,11000000000000.0, ,41800.0
(CH3)3CCH2OO->(CH3)2C(CH2OOH)CH2.,1,(CH3)3CCH2OO,(CH3)3CCH2OO,,(CH3)2C(CH2OOH)CH2.,(CH3)2C(CH2OOH)CH2.,,,,660.0,750.0,1580000000000.0, ,123000.0
"(CH3)3CCH2OO->2,2-dimethylpropanal+.OH",1,(CH3)3CCH2OO,(CH3)3CCH2OO,,"2,2-dimethylpropanal | .OH","2,2-dimethylpropanal",.OH,,,300.0,900.0,8790000000000.0,-0.71,180000.0
(CH3)3CCH2OO->(CH3)3CCH(.)OOH,1,(CH3)3CCH2OO,(CH3)3CCH2OO,,(CH3)3CCH(.)OOH,(CH3)3CCH(.)OOH,,,,300.0,1500.0,2590000000000.0,1.00,164000.0
HOCH2OO->CH2O+HO2,1,HOCH2OO,HOCH2OO,,CH2O | HO2,CH2O,HO2,,,275.0,333.0,2400000000000.0, ,58200.0
CH3CH2CH2SCH2CH=CH2->CH3CH=CH2+C2H5CHS,1,CH3CH2CH2SCH2CH=CH2,CH3CH2CH2SCH2CH=CH2,,CH3CH=CH2 | C2H5CHS,CH3CH=CH2,C2H5CHS,,,443.0,491.0,75900000000.0, ,174000.0
CH3CH(OH)CH(CH3)C(O)OC2H5->CH3CHO+C2H5COOC2H5,1,CH3CH(OH)CH(CH3)C(O)OC2H5,CH3CH(OH)CH(CH3)C(O)OC2H5,,CH3CHO | C2H5COOC2H5,CH3CHO,C2H5COOC2H5,,,573.0,603.0,178000000000.0, ,163000.0
"Benzene,(1-propenyloxy)-->.CH2CH=CH2+C6H5O",1,"Benzene,(1-propenyloxy)-","Benzene,(1-propenyloxy)-",,.CH2CH=CH2 | C6H5O,.CH2CH=CH2,C6H5O,,,720.0,983.0,398000000000000.0, ,203000.0
Cl(CH2)4SCH3->CH3Cl+Tetrahydrothiophene,1,Cl(CH2)4SCH3,Cl(CH2)4SCH3,,CH3Cl | Tetrahydrothiophene,CH3Cl,Tetrahydrothiophene,,,583.0,623.0,1700000000000.0, ,175000.0
(CH3)2CHCH2O2->(CH3)2CHC(.)HOOH,1,(CH3)2CHCH2O2,(CH3)2CHCH2O2,,(CH3)2CHC(.)HOOH,(CH3)2CHC(.)HOOH,,,,300.0,1500.0,2770000000000.0,1.00,166000.0
